           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          301.66      -267108.19        37495.71      -360635.75         2984.94        34035.56         2409.90         6101.38        10500.05          0.5008          -55.21         -147.49 
            200          26.305          300.74      -267514.06        37114.86      -360546.25         2963.59        33996.95         2349.07         6076.36        10531.34          0.5013         -146.99         -163.15 
            300          26.705          300.71      -267183.00        37145.48      -360383.50         2975.65        33973.59         2367.31         6219.51        10518.94          0.5020         -137.67         -334.63 
            400          27.105          299.86      -268054.69        37050.65      -360986.00         2957.36        34069.81         2330.90         6058.57        10464.02          0.5030         -246.68         -476.83 
            500          27.505          297.37      -267757.91        36966.37      -360675.50         3018.20        33922.89         2374.79         6135.24        10500.08          0.5042         -176.72         -470.14 
            600          27.905          297.44      -267849.09        36874.81      -360681.75         2961.82        34051.17         2319.07         6133.61        10492.18          0.5057         -213.45         -570.92 
            700          28.305          299.20      -268370.09        37263.02      -361498.50         2990.98        33897.93         2409.22         6133.27        10433.93          0.5073         -109.81         -573.65 
            800          28.705          300.41      -268387.69        37051.71      -361372.50         2940.86        34004.31         2371.83         6127.12        10488.96          0.5087         -226.90         -613.92 
            900          29.105          300.95      -268355.41        37174.34      -361465.00         3027.77        33926.02         2356.08         6134.24        10491.13          0.5103         -109.61         -556.63 
           1000          29.505          297.64      -268447.06        36906.39      -361221.75         2990.47        33943.50         2357.19         6071.57        10505.61          0.5119         -227.15         -556.11 
