           step            time     temperature       potential              LJ             PME         nb14_LJ         nb14_EE            bond           angle        dihedral         density        pressure           dV_dt 
            100          25.905          298.66      -266644.19        36828.80      -359554.25         2960.54        34067.72         2299.76         6230.58        10522.65          0.5007         -153.36          -68.73 
            200          26.305          300.66      -267777.19        36872.22      -360539.50         2960.26        34013.39         2360.69         6085.11        10470.62          0.5008         -197.29         -154.25 
            300          26.705          299.43      -267402.72        37025.73      -360401.25         2959.09        33968.52         2371.66         6172.77        10500.76          0.5017         -220.13         -423.38 
            400          27.105          301.03      -267904.78        37503.64      -361282.25         2945.04        33985.29         2295.32         6134.45        10513.75          0.5027         -197.07         -412.67 
            500          27.505          301.04      -268182.12        37539.25      -361790.75         3008.06        34058.02         2306.49         6216.84        10479.94          0.5038          -88.61         -425.63 
            600          27.905          298.98      -268168.03        37373.47      -361557.00         2981.44        33986.59         2359.46         6184.90        10503.09          0.5049          -74.57         -526.75 
            700          28.305          299.95      -268187.47        37735.84      -361844.50         2972.09        34043.75         2319.92         6061.86        10523.59          0.5062         -135.50         -516.29 
            800          28.705          299.40      -268144.44        36885.15      -360998.25         2915.85        33959.94         2407.26         6130.95        10554.69          0.5075         -311.98         -547.18 
            900          29.105          299.80      -268482.53        37126.50      -361415.75         2982.46        34021.88         2373.55         5944.14        10484.65          0.5089         -180.05         -601.11 
           1000          29.505          298.65      -268769.59        37529.22      -362154.25         2959.57        33965.31         2334.44         6093.17        10502.95          0.5105         -163.25         -585.44 
