step,pressure,run_id,source
100.0,-130.74,run_001,gpu
200.0,-96.52,run_001,gpu
300.0,-200.24,run_001,gpu
400.0,-112.64,run_001,gpu
500.0,-246.96,run_001,gpu
600.0,-244.0,run_001,gpu
700.0,-139.69,run_001,gpu
800.0,-144.05,run_001,gpu
900.0,-53.76,run_001,gpu
1000.0,-70.72,run_001,gpu
100.0,-168.74,run_002,gpu
200.0,-164.41,run_002,gpu
300.0,-252.64,run_002,gpu
400.0,-145.79,run_002,gpu
500.0,-160.75,run_002,gpu
600.0,-110.8,run_002,gpu
700.0,-170.39,run_002,gpu
800.0,-138.99,run_002,gpu
900.0,-122.79,run_002,gpu
1000.0,-119.91,run_002,gpu
100.0,-152.11,run_003,gpu
200.0,-176.47,run_003,gpu
300.0,-167.55,run_003,gpu
400.0,-96.13,run_003,gpu
500.0,-84.01,run_003,gpu
600.0,-222.48,run_003,gpu
700.0,-43.73,run_003,gpu
800.0,-96.29,run_003,gpu
900.0,-182.69,run_003,gpu
1000.0,-83.28,run_003,gpu
100.0,-222.59,run_004,gpu
200.0,-178.78,run_004,gpu
300.0,-141.58,run_004,gpu
400.0,-312.9,run_004,gpu
500.0,-160.26,run_004,gpu
600.0,-220.74,run_004,gpu
700.0,-253.75,run_004,gpu
800.0,-291.28,run_004,gpu
900.0,-139.18,run_004,gpu
1000.0,-213.42,run_004,gpu
100.0,-114.09,run_005,gpu
200.0,-152.66,run_005,gpu
300.0,-157.24,run_005,gpu
400.0,-207.38,run_005,gpu
500.0,-250.26,run_005,gpu
600.0,-187.75,run_005,gpu
700.0,-150.4,run_005,gpu
800.0,-153.14,run_005,gpu
900.0,-89.15,run_005,gpu
1000.0,-121.35,run_005,gpu
100.0,-204.45,run_006,gpu
200.0,-156.7,run_006,gpu
300.0,-310.06,run_006,gpu
400.0,-137.59,run_006,gpu
500.0,-254.28,run_006,gpu
600.0,-132.83,run_006,gpu
700.0,-116.3,run_006,gpu
800.0,-196.96,run_006,gpu
900.0,-119.06,run_006,gpu
1000.0,-25.14,run_006,gpu
100.0,-142.15,run_007,gpu
200.0,-170.72,run_007,gpu
300.0,-193.07,run_007,gpu
400.0,-179.55,run_007,gpu
500.0,-100.61,run_007,gpu
600.0,-151.4,run_007,gpu
700.0,-167.48,run_007,gpu
800.0,-196.15,run_007,gpu
900.0,-155.35,run_007,gpu
1000.0,-111.26,run_007,gpu
100.0,-153.36,run_008,gpu
200.0,-197.29,run_008,gpu
300.0,-220.13,run_008,gpu
400.0,-197.07,run_008,gpu
500.0,-88.61,run_008,gpu
600.0,-74.57,run_008,gpu
700.0,-135.5,run_008,gpu
800.0,-311.98,run_008,gpu
900.0,-180.05,run_008,gpu
1000.0,-163.25,run_008,gpu
100.0,-147.16,run_009,gpu
200.0,-172.71,run_009,gpu
300.0,-215.46,run_009,gpu
400.0,-151.36,run_009,gpu
500.0,-171.33,run_009,gpu
600.0,-126.71,run_009,gpu
700.0,-53.92,run_009,gpu
800.0,-56.6,run_009,gpu
900.0,-82.13,run_009,gpu
1000.0,-135.57,run_009,gpu
100.0,-38.14,run_010,gpu
200.0,-110.11,run_010,gpu
300.0,-91.92,run_010,gpu
400.0,-199.64,run_010,gpu
500.0,-145.32,run_010,gpu
600.0,-119.48,run_010,gpu
700.0,-136.26,run_010,gpu
800.0,-139.75,run_010,gpu
900.0,-153.23,run_010,gpu
1000.0,-135.67,run_010,gpu
100.0,-55.21,cpu_reference,cpu
200.0,-146.99,cpu_reference,cpu
300.0,-137.67,cpu_reference,cpu
400.0,-246.68,cpu_reference,cpu
500.0,-176.72,cpu_reference,cpu
600.0,-213.45,cpu_reference,cpu
700.0,-109.81,cpu_reference,cpu
800.0,-226.9,cpu_reference,cpu
900.0,-109.61,cpu_reference,cpu
1000.0,-227.15,cpu_reference,cpu
