Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.000000,0.001614,0.005094,0.001733,0.000670,0.000118,0.000830,0.000656,0.000190
200,0.000000,0.059888,0.010045,0.134294,0.006795,0.006412,0.002942,0.011069,0.011848,0.020696
300,0.000000,0.341353,0.008295,0.230827,0.017270,0.039671,0.006917,0.177732,0.062185,0.022251
400,0.000000,0.415243,0.018552,0.990082,0.095549,0.149572,0.029548,0.079861,0.151456,0.025509
500,0.000000,0.488572,0.035272,0.040377,0.037860,0.044378,0.025889,0.124798,0.160479,0.065757
600,0.000000,0.747464,0.018682,0.909807,0.076117,0.083325,0.006343,0.090902,0.164775,0.099888
700,0.000000,1.094179,0.117547,0.953590,0.184920,0.559452,0.002507,0.585539,0.109284,0.049862
800,0.000000,0.066531,0.179892,0.032107,0.129397,0.306113,0.047752,0.527177,0.137559,0.102976
900,0.000000,0.182421,0.092582,1.257991,0.193477,0.202207,0.098617,0.460082,0.541698,0.065536
1000,0.000000,0.511415,0.010232,0.371719,0.039641,0.970720,0.027141,0.120761,0.258898,0.024564
