Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.006657,0.001826,0.019078,0.000557,0.000332,0.000029,0.000439,0.000000,0.000000
200,0.000000,0.072629,0.016974,0.006142,0.013625,0.014669,0.001883,0.021086,0.000800,0.008376
300,0.000000,0.436259,0.054262,0.627225,0.027988,0.123028,0.035853,0.036368,0.063539,0.036987
400,0.000000,0.310964,0.052304,1.416090,0.103892,0.018117,0.021597,0.211460,0.299678,0.069816
500,0.000000,0.195138,0.001427,0.153394,0.023427,0.047590,0.021596,0.385061,0.450499,0.133400
600,0.000000,0.504039,0.027868,0.262910,0.000486,0.170107,0.047739,0.432040,0.142866,0.098501
700,0.000000,0.082921,0.108788,0.050213,0.064475,0.086668,0.175488,0.031070,0.130076,0.075477
800,0.000000,0.675406,0.128605,0.090799,0.091936,0.319966,0.023166,0.286564,0.007488,0.417229
900,0.000000,0.195766,0.015565,1.373602,0.127055,0.008822,0.106922,0.280840,0.058367,0.229220
1000,0.000000,0.023552,0.010957,0.771548,0.074171,0.233892,0.038336,0.281784,0.214532,0.033864
