Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.019939,0.000225,0.009014,0.000768,0.000682,0.000088,0.012148,0.008744,0.002483
200,0.000000,0.694375,0.108298,0.007182,0.067664,0.033795,0.005595,0.531736,0.437790,0.051394
300,0.000000,0.056234,0.320837,0.203528,0.239878,0.278949,0.021432,0.424244,0.455832,0.155915
400,0.000000,0.006592,0.042118,0.888710,0.053240,0.201898,0.220917,0.290297,0.899696,0.348523
500,0.000000,0.093417,0.062746,0.137522,0.073246,0.732896,0.096471,2.731805,0.248507,0.198219
600,0.000000,0.073107,0.029682,0.522125,0.082348,0.574883,0.104202,1.156182,1.606406,0.618610
700,0.000000,0.408380,0.148677,1.175458,0.198137,1.004475,0.009171,1.097958,2.219742,0.273164
800,0.000000,1.549053,0.188414,1.638274,0.007690,0.179219,0.293095,2.079094,0.681018,0.478132
900,0.000000,0.429056,0.142933,1.289668,0.269914,0.542511,0.557134,0.218478,0.701917,0.423571
1000,0.000000,1.182728,0.266573,2.823445,0.471394,0.165257,0.019970,0.397921,0.407024,0.215086
