source,run_id,points,pressure_mean,pressure_std,pressure_min,pressure_max
gpu,run_001,10,-143.93200000000002,67.25496690455905,-246.96,-53.76
gpu,run_002,10,-155.52100000000002,40.33427256482176,-252.64,-110.8
gpu,run_003,10,-130.474,57.16326291130228,-222.48,-43.73
gpu,run_004,10,-213.448,60.01953456074853,-312.9,-139.18
gpu,run_005,10,-158.342,47.08891207067752,-250.26,-89.15
gpu,run_006,10,-165.33700000000002,79.92220565441538,-310.06,-25.14
gpu,run_007,10,-156.774,31.9137947184808,-196.15,-100.61
gpu,run_008,10,-172.18099999999998,67.86114932549978,-311.98,-74.57
gpu,run_009,10,-131.29500000000002,52.787605710684275,-215.46,-53.92
gpu,run_010,10,-126.952,42.28499781246299,-199.64,-38.14
cpu,cpu_reference,10,-165.019,63.32432698243051,-246.68,-55.21
