backend,case,run_id,exit_code,elapsed_s,last_step,nonfinite_flag
gpu_ref,mdin_npt_andersenbaro,1,0,3,1000,0
local_cpu,mdin_npt_andersenbaro,1,0,733,1000,0
gpu_ref,mdin_npt_berendsen,1,0,2,1000,0
local_cpu,mdin_npt_berendsen,1,0,738,1000,0
gpu_ref,mdin_npt_mcbaro,1,0,2,1000,0
local_cpu,mdin_npt_mcbaro,1,0,709,1000,0
gpu_ref,mdin_nve_shake,1,0,2,1000,0
local_cpu,mdin_nve_shake,1,0,841,1000,0
gpu_ref,mdin_nvt_andersen,1,0,3,1000,0
local_cpu,mdin_nvt_andersen,1,0,693,1000,0
gpu_ref,mdin_nvt_langevin,1,0,2,1000,0
local_cpu,mdin_nvt_langevin,1,0,700,1000,0
gpu_ref,mdin_nvt_nhc_simple,1,0,3,1000,0
local_cpu,mdin_nvt_nhc_simple,1,0,700,1000,0
gpu_ref,mdin_npt_mcbaro,2,0,3,1000,0
local_cpu,mdin_npt_mcbaro,2,0,714,1000,0
