Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.013313,0.003559,0.109993,0.014439,0.030550,0.002819,0.028506,0.000807,0.003429
200,0.000000,0.106002,0.012027,0.155051,0.025696,0.009994,0.002884,0.034347,0.034302,0.005809
300,0.000000,0.190463,0.005663,0.110874,0.009833,0.114991,0.002471,0.120704,0.038640,0.042072
400,0.000000,0.450344,0.026767,0.029742,0.019952,0.068731,0.036425,0.278194,0.066245,0.023800
500,0.000000,0.062624,0.083265,0.238119,0.029247,0.251085,0.051665,0.090588,0.090928,0.038832
600,0.000000,0.197410,0.046315,0.639418,0.042411,0.276076,0.032851,0.477041,0.339948,0.032819
700,0.000000,0.949027,0.049354,1.248507,0.161969,0.150230,0.048389,0.489520,0.228991,0.062903
800,0.000000,0.053135,0.042286,0.368591,0.004354,0.451040,0.062583,0.105754,0.455143,0.134686
900,0.000000,0.236320,0.081129,0.481942,0.020768,0.025496,0.017075,0.503054,0.759139,0.144867
1000,0.000000,0.063776,0.148675,0.127417,0.092135,0.670691,0.055994,0.179717,0.091583,0.108444
