Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.043268,0.097200,5.499557,0.619927,0.016938,0.000235,0.119844,0.010017,0.002947
200,0.000000,0.247264,0.150864,1.302355,0.242447,0.063684,0.013596,0.091184,0.195360,0.006758
300,0.000000,0.395204,0.140750,1.779009,0.285348,0.122426,0.016133,0.242111,0.099810,0.084956
400,0.000000,0.696558,0.139652,0.210232,0.087206,0.273294,0.052325,0.228388,0.277398,0.137291
500,0.000000,0.717247,0.104926,0.082075,0.070006,0.156823,0.015625,0.389443,0.217801,0.044899
600,0.000000,0.003349,0.138406,0.683781,0.186701,0.002386,0.040253,0.019180,0.421926,0.113696
700,0.000000,0.470502,0.169257,0.936318,0.229819,0.301281,0.041465,0.616710,0.513020,0.232404
800,0.000000,0.269569,0.058717,0.159145,0.035280,0.202349,0.029995,0.219530,0.333888,0.036812
900,0.000000,1.339684,0.148204,0.638861,0.165787,0.065968,0.020401,0.258800,0.170698,0.202986
1000,0.000000,0.236485,0.094536,1.514390,0.211261,0.177902,0.119571,0.403135,0.157994,0.162281
