Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.013023,0.000828,0.000224,0.000632,0.000679,0.000059,0.000845,0.000807,0.000095
200,0.000000,0.158141,0.053977,0.527292,0.092754,0.021756,0.012899,0.101356,0.124734,0.044313
300,0.000000,0.453118,0.036586,1.556217,0.134359,0.436018,0.210765,1.290365,0.394086,0.034765
400,0.000000,0.188532,0.003393,0.130084,0.001758,0.206946,0.022089,0.857943,0.416636,0.399911
500,0.000000,1.135026,0.033680,1.616980,0.144804,0.357459,0.074114,1.950704,0.406738,0.175651
600,0.000000,0.071645,0.067937,0.725570,0.131628,0.430915,0.093912,3.770057,2.272498,0.528971
700,0.000000,0.068391,0.117595,0.122505,0.051482,1.554837,0.060963,0.854862,2.268670,0.133654
800,0.000000,0.003235,0.008862,1.335478,0.148179,1.797722,0.136985,1.135520,0.616710,0.008093
900,0.000000,1.211006,0.170102,0.644129,0.170735,0.748699,0.088327,0.031861,1.417134,0.246985
1000,0.000000,0.119074,0.031325,0.323317,0.014843,1.578796,0.348238,3.713050,0.843785,0.422803
