Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.016359,0.001309,0.010444,0.000140,0.000680,0.000059,0.000868,0.000161,0.000475
200,0.000000,0.214069,0.021953,0.150519,0.030996,0.009145,0.000531,0.042162,0.038596,0.009765
300,0.000000,1.403091,0.029464,0.202280,0.000696,0.140339,0.020131,0.133353,0.000811,0.071831
400,0.000000,0.638587,0.115184,1.301834,0.218824,0.190301,0.044398,0.147923,0.065567,0.068213
500,0.000000,0.076290,0.005224,0.509023,0.050151,0.483646,0.019346,0.174857,0.101600,0.100522
600,0.000000,1.114703,0.055322,0.767974,0.051006,0.410250,0.053567,0.053748,0.178269,0.051815
700,0.000000,0.201877,0.038503,0.250276,0.061766,0.054603,0.007780,0.200631,0.814537,0.256866
800,0.000000,0.147795,0.080228,0.289142,0.078694,0.307074,0.115379,0.309479,0.212370,0.290224
900,0.000000,0.878310,0.077727,0.452539,0.000625,0.017009,0.036748,0.437185,0.575623,0.100870
1000,0.000000,1.288095,0.045434,0.665672,0.074063,0.225386,0.128213,0.948049,0.690316,0.146632
