Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.003239,0.002485,0.006870,0.002519,0.000331,0.000088,0.000328,0.000441,0.000189
200,0.000000,0.112805,0.032378,0.138825,0.009809,0.020500,0.003296,0.002903,0.010932,0.004718
300,0.000000,0.219574,0.060014,0.543296,0.096918,0.055511,0.002205,0.002225,0.039277,0.067947
400,0.000000,0.503120,0.224082,0.482016,0.117987,0.136455,0.025059,0.156623,0.036591,0.015701
500,0.000000,0.909732,0.024449,0.307792,0.045455,0.148770,0.020176,0.115834,0.028169,0.036687
600,0.000000,0.591349,0.161090,0.882034,0.197679,0.101215,0.023640,0.016683,0.270513,0.137211
700,0.000000,0.330924,0.098137,0.248862,0.095275,0.444299,0.022326,0.026202,0.426268,0.151995
800,0.000000,0.624740,0.020612,0.731956,0.050110,0.038039,0.015944,0.100367,0.081869,0.155965
900,0.000000,0.310589,0.041333,1.184134,0.087673,0.083998,0.007634,0.326935,0.088414,0.155129
1000,0.000000,0.156255,0.029452,0.181627,0.027437,0.235249,0.186666,0.734149,0.203557,0.157959
