Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.019939,0.002795,0.005899,0.002303,0.000682,0.000118,0.012148,0.012374,0.002769
200,0.000000,1.033402,0.106225,0.122657,0.044097,0.094956,0.003416,0.779495,0.775663,0.112253
300,0.000000,0.234177,0.070005,0.665730,0.118618,0.190539,0.071188,0.621528,0.061102,0.107742
400,0.000000,0.204789,0.083185,1.093323,0.048004,0.277818,0.116410,0.020484,0.493976,0.018285
500,0.000000,0.264020,0.124192,0.632051,0.013085,0.030152,0.119228,1.605685,2.060186,0.126402
600,0.000000,0.222977,0.052804,0.120787,0.020851,0.153541,0.140937,1.948955,0.725101,0.222726
700,0.000000,0.267415,0.027190,0.338382,0.046909,0.247027,0.082497,1.466438,0.706247,0.523965
800,0.000000,0.861462,0.074082,1.149077,0.046298,0.930581,0.310499,0.910546,0.295852,0.169394
900,0.000000,1.407174,0.018430,1.703257,0.203478,0.204355,0.134330,1.056660,1.691044,0.558103
1000,0.000000,0.306636,0.208649,2.429600,0.384787,0.771786,0.065438,0.732439,0.360319,0.238779
