backend,case,run_id,exit_code,elapsed_s,last_step,nonfinite_flag,log_path,metrics_path
gpu_ref,mdin_npt_andersenbaro,1,0,3,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_andersenbaro.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_andersenbaro.gpu_ref.run1.metrics.csv
local_cpu,mdin_npt_andersenbaro,1,0,653,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_andersenbaro.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_andersenbaro.hybrid_best.run1.metrics.csv
gpu_ref,mdin_npt_berendsen,1,0,2,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_berendsen.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_berendsen.gpu_ref.run1.metrics.csv
local_cpu,mdin_npt_berendsen,1,0,701,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_berendsen.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_berendsen.hybrid_best.run1.metrics.csv
gpu_ref,mdin_npt_mcbaro,1,0,2,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.gpu_ref.run1.metrics.csv
local_cpu,mdin_npt_mcbaro,1,0,671,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nve_shake,1,0,2,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nve_shake.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nve_shake.gpu_ref.run1.metrics.csv
local_cpu,mdin_nve_shake,1,0,756,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nve_shake.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nve_shake.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nvt_andersen,1,0,2,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nvt_andersen.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nvt_andersen.gpu_ref.run1.metrics.csv
local_cpu,mdin_nvt_andersen,1,0,609,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nvt_andersen.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nvt_andersen.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nvt_langevin,1,0,2,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nvt_langevin.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nvt_langevin.gpu_ref.run1.metrics.csv
local_cpu,mdin_nvt_langevin,1,0,619,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nvt_langevin.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nvt_langevin.hybrid_best.run1.metrics.csv
gpu_ref,mdin_nvt_nhc_simple,1,0,2,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nvt_nhc_simple.gpu_ref.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nvt_nhc_simple.gpu_ref.run1.metrics.csv
local_cpu,mdin_nvt_nhc_simple,1,0,617,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_nvt_nhc_simple.hybrid_best.run1.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_nvt_nhc_simple.hybrid_best.run1.metrics.csv
gpu_ref,mdin_npt_mcbaro,2,0,3,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.gpu_ref.run2.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.gpu_ref.run2.metrics.csv
local_cpu,mdin_npt_mcbaro,2,0,620,1000,0,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/logs/mdin_npt_mcbaro.hybrid_best.run2.log,/home/wuping/cpu_sponge/reports/step1000_seedlock_hybrid_gpu/metrics/mdin_npt_mcbaro.hybrid_best.run2.metrics.csv
