source,run_id,points,pressure_mean,pressure_std,pressure_min,pressure_max
gpu,run_001,50,-102.05720000000001,74.3162802511492,-262.21,47.99
gpu,run_002,50,-91.3986,74.12160358767318,-258.81,64.54
gpu,run_003,50,-100.23620000000001,74.8331783584293,-308.51,103.85
gpu,run_004,50,-107.256,77.58897473223885,-284.05,73.11
gpu,run_005,50,-102.5272,71.88920202304519,-244.0,70.37
gpu,run_006,50,-109.22980000000001,60.77592956298487,-243.96,-5.22
gpu,run_007,50,-104.71979999999999,80.55532829233404,-272.8,76.43
gpu,run_008,50,-99.7448,73.18410740379223,-273.55,73.59
gpu,run_009,50,-92.9492,68.26195599366922,-258.24,45.73
gpu,run_010,50,-94.7872,72.72931023672783,-256.93,91.66
cpu,cpu_reference,50,-94.3628,73.12155060875399,-218.68,89.61
