Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.009957,0.000331,0.005911,0.000768,0.001015,0.000884,0.002999,0.001620,0.000286
200,0.000000,0.286816,0.037632,0.215375,0.006770,0.066069,0.015689,0.032829,0.051419,0.031260
300,0.000000,0.358340,0.020160,0.559938,0.033715,0.284865,0.218281,0.469322,1.411196,0.217566
400,0.000000,1.945877,0.069259,0.207690,0.014547,0.047315,0.001677,0.358446,0.464710,0.204381
500,0.000000,0.306971,0.079365,0.428933,0.077051,0.609208,0.409378,1.289725,0.027349,0.000191
600,0.000000,0.264279,0.113729,0.021112,0.077428,1.909760,0.404337,4.785798,0.566175,0.297778
700,0.000000,0.928453,0.006138,0.175519,0.052079,0.315461,0.229634,1.757865,0.875395,0.219841
800,0.000000,0.849088,0.061240,0.289498,0.056074,0.733706,0.021462,2.868852,0.580563,0.045548
900,0.000000,0.608953,0.235030,2.126441,0.404515,2.016908,0.151812,0.330743,1.218949,0.078840
1000,0.000000,0.052767,0.104402,0.954043,0.007741,1.303066,0.049421,3.277764,2.758190,0.322132
1100,0.000000,0.682343,0.087210,0.500430,0.125792,0.057713,0.010580,0.800292,0.552361,0.222968
1200,0.000000,0.006641,0.176857,0.348856,0.126912,0.425814,0.273017,4.092153,2.190064,0.214199
1300,0.000000,1.629821,0.161639,0.138044,0.153879,0.157767,0.030436,0.687599,0.844806,0.167058
1400,0.000000,0.545346,0.171518,0.469571,0.136140,1.132345,0.057031,4.109886,0.364888,0.151541
1500,0.000000,0.920552,0.164185,0.908697,0.035879,0.205779,0.046260,1.546298,0.187178,0.462270
1600,0.000000,0.980033,0.095972,0.035221,0.062480,0.466327,0.380449,2.823143,1.646534,0.433544
1700,0.000000,0.743893,0.176245,1.187299,0.192190,1.018130,0.518553,1.153195,0.280702,0.290285
1800,0.000000,0.056761,0.224405,0.920684,0.200329,1.753924,0.627294,2.228007,0.813900,0.578159
1900,0.000000,0.961921,0.296077,0.731500,0.238881,1.255049,0.578255,0.838418,0.094966,0.196529
2000,0.000000,0.734852,0.223595,0.794576,0.205911,0.153841,0.096910,0.379038,1.237499,0.289381
2100,0.000000,0.843341,0.115796,1.032943,0.131375,0.763266,0.000294,3.831819,0.544653,1.116995
2200,0.000000,1.542944,0.222238,1.228475,0.277105,1.377655,0.067288,0.345199,1.281044,1.349329
2300,0.000000,0.499464,0.144621,1.050077,0.170446,1.239622,0.211050,3.752372,0.684347,0.634881
2400,0.000000,0.721729,0.177913,0.998920,0.012555,0.188088,0.020287,2.784798,1.633870,0.137275
2500,0.000000,0.312081,0.211542,0.248340,0.187155,0.834420,0.009916,0.329960,0.653158,0.517878
2600,0.000000,1.432199,0.125989,1.256550,0.150215,0.398075,0.732510,0.427944,0.052168,0.420011
2700,0.000000,0.288978,0.186690,0.138150,0.186906,1.820651,0.510135,2.724615,1.032995,0.024863
2800,0.000000,1.244897,0.205229,0.236051,0.152847,1.290082,0.311088,1.297449,0.770403,0.064361
2900,0.000000,0.600398,0.079192,1.048561,0.182556,0.480688,0.394353,5.848963,0.212431,0.695389
3000,0.000000,0.298028,0.094903,0.111378,0.070176,1.934518,0.326496,0.404251,0.362779,0.035326
3100,0.000000,0.382636,0.094134,1.483717,0.217045,0.618905,0.500971,2.815378,3.156846,0.390998
3200,0.000000,0.798971,0.088243,0.784959,0.012448,0.456783,0.029359,1.188961,0.618643,0.778746
3300,0.000000,1.647027,0.073903,0.119487,0.029050,1.171073,0.113840,1.276866,2.161897,0.459676
3400,0.000000,0.297739,0.074013,0.181723,0.051566,0.969319,0.182590,1.301927,0.212841,0.405174
3500,0.000000,0.284405,0.085174,0.722713,0.045489,1.343425,0.366578,0.360303,2.157934,0.722798
3600,0.000000,0.669898,0.079483,1.006068,0.169689,0.535146,0.297216,3.885544,0.527481,0.166911
3700,0.000000,0.827256,0.119149,0.086875,0.088783,0.623926,0.166078,2.199991,1.278402,0.162746
3800,0.000000,1.084366,0.189105,0.750981,0.208892,0.941962,0.313970,0.886950,1.672171,0.232123
3900,0.000000,0.017029,0.051860,0.497409,0.016382,1.154876,0.239246,0.768671,0.064495,0.263669
4000,0.000000,0.535793,0.062953,1.569281,0.207583,1.351539,0.189757,0.355696,2.089811,0.160284
4100,0.000000,1.104635,0.127721,1.602633,0.243337,0.705129,0.087801,4.676538,0.842431,0.080136
4200,0.000000,0.836466,0.093734,0.470018,0.120585,0.669823,0.093287,0.844292,0.688795,0.008644
4300,0.000000,0.453873,0.201767,1.080615,0.257436,0.283857,0.079559,0.551079,0.652371,0.183723
4400,0.000000,0.771615,0.175528,0.971706,0.037021,0.989412,0.076763,3.068184,1.099227,0.311683
4500,0.000000,0.517679,0.078404,0.018323,0.015344,0.459247,0.504647,0.282692,0.080613,0.070261
4600,0.000000,0.873750,0.027057,0.760590,0.111750,1.577757,0.036687,3.913059,0.505365,0.508438
4700,0.000000,1.296591,0.033266,1.091062,0.083133,0.753150,0.060167,0.605077,0.064231,0.064574
4800,0.000000,1.318338,0.039784,1.125377,0.191518,1.064103,0.305588,2.054965,0.570040,0.480816
4900,0.000000,1.403079,0.027596,0.194572,0.056296,0.836844,0.543575,3.193507,0.576101,0.440842
5000,0.000000,1.385721,0.046656,0.378733,0.050663,0.627323,0.013396,1.034095,0.567034,0.016715
