Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.032550,0.000946,0.000392,0.000702,0.002038,0.000147,0.005070,0.001291,0.000476
200,0.000000,0.454604,0.012985,0.436987,0.053695,0.077241,0.000412,0.098687,0.022510,0.020303
300,0.000000,0.572186,0.018469,0.868139,0.083455,0.352748,0.194638,1.496557,0.018014,0.016899
400,0.000000,0.165816,0.017074,0.117424,0.052841,0.544813,0.051549,1.157976,0.781375,0.777481
500,0.000000,0.412445,0.005812,0.263620,0.014387,0.706669,0.298614,0.062941,1.010997,0.256816
600,0.000000,0.198400,0.147963,0.190325,0.069361,2.079942,0.542284,4.285936,1.649775,0.247387
700,0.000000,0.375670,0.030154,0.424733,0.028874,2.076170,0.085410,0.111249,1.668912,0.178821
800,0.000000,0.300000,0.086833,1.810158,0.160617,1.643719,0.286345,0.824667,0.178885,0.116692
900,0.000000,0.092445,0.030599,0.429770,0.033700,0.703970,0.027316,0.541868,1.392987,0.019721
1000,0.000000,0.089922,0.019404,0.722753,0.118655,1.096321,0.343513,0.521122,0.874719,0.044289
1100,0.000000,0.231236,0.048399,1.064516,0.109606,1.759746,0.026578,0.810344,1.869450,0.150556
1200,0.000000,0.083083,0.009112,1.208270,0.137095,0.525744,0.020431,1.046216,0.953481,0.220608
1300,0.000000,0.224309,0.077568,2.233474,0.300507,0.282631,0.033192,1.662046,1.156765,0.300538
1400,0.000000,0.131419,0.058924,0.146800,0.015727,0.685195,0.138640,1.000111,1.470442,0.931312
1500,0.000000,0.812157,0.075063,1.061262,0.208027,1.650615,0.160792,5.538732,0.458132,0.035238
1600,0.000000,1.372417,0.098320,0.571767,0.038613,0.620713,0.048749,1.212102,1.648204,0.530186
1700,0.000000,1.070001,0.079116,0.691600,0.075256,0.221593,0.607267,3.617360,1.018063,0.005954
1800,0.000000,0.304097,0.027280,0.138945,0.029876,1.022041,0.321428,0.336288,0.535292,0.289352
1900,0.000000,1.598790,0.103312,0.040430,0.079034,1.438784,0.089583,0.962126,0.697400,0.717683
2000,0.000000,0.117763,0.146639,0.661380,0.030726,1.219808,0.039863,0.088904,1.007623,0.285066
2100,0.000000,0.714308,0.049858,0.542325,0.014299,1.010934,0.178956,0.559887,0.759731,0.143050
2200,0.000000,0.541962,0.134958,0.428615,0.125093,1.289810,0.174316,1.309022,0.421100,0.161497
2300,0.000000,0.860229,0.034284,1.167013,0.149002,1.576784,0.006719,1.334288,0.236626,0.503786
2400,0.000000,0.524409,0.098164,0.234233,0.074082,1.086270,0.121696,2.404217,2.101501,0.394771
2500,0.000000,0.201304,0.041579,0.002285,0.013137,0.588057,0.162212,1.710051,1.416444,0.205680
2600,0.000000,0.711607,0.039026,1.079069,0.120756,0.148521,0.434264,1.212540,2.629474,0.733708
2700,0.000000,0.336711,0.028757,0.233135,0.013397,0.011330,0.123790,5.075360,0.783466,0.680483
2800,0.000000,0.127828,0.074148,0.442916,0.151702,1.092444,0.034032,0.418283,1.104919,1.034080
2900,0.000000,0.790960,0.021506,0.907829,0.071990,0.260654,0.228992,0.363749,1.197436,0.105759
3000,0.000000,0.860160,0.066748,0.799838,0.168016,0.777123,0.247301,1.217032,0.216895,0.485891
3100,0.000000,0.579497,0.028119,0.286704,0.005164,1.500736,0.027882,1.040933,3.691702,0.140799
3200,0.000000,0.169280,0.054668,0.943534,0.120701,1.066883,0.143416,1.072019,0.585026,0.572533
3300,0.000000,0.006419,0.059308,2.894931,0.261530,1.514538,0.030906,2.887958,1.462391,0.270555
3400,0.000000,0.727424,0.029026,0.376574,0.041107,0.432385,0.503192,2.526582,1.870902,0.897731
3500,0.000000,0.749601,0.134392,0.446871,0.127538,0.353464,0.042722,0.339999,1.209696,0.489013
3600,0.000000,0.460579,0.048754,1.602331,0.149809,1.842565,0.053585,1.243860,0.884572,0.623609
3700,0.000000,0.006376,0.135085,0.044181,0.091160,0.020255,0.299243,1.633573,2.239036,0.458631
3800,0.000000,0.778123,0.033556,0.360422,0.098898,1.117803,0.290139,2.578824,1.200371,0.056015
3900,0.000000,0.353402,0.011859,1.791533,0.194382,1.566059,0.288104,3.769369,2.557761,0.555717
4000,0.000000,0.140557,0.000872,0.393718,0.073335,0.306159,0.307898,2.447698,0.744150,0.453292
4100,0.000000,0.385765,0.092186,1.107755,0.116274,2.351011,0.258121,4.634065,0.351091,0.268900
4200,0.000000,0.782704,0.180997,0.938487,0.229954,2.138577,0.199658,1.267104,1.430228,0.124106
4300,0.000000,0.547182,0.033872,1.368727,0.137836,0.236272,0.270408,0.409510,2.434040,0.037573
4400,0.000000,0.115119,0.017478,0.528179,0.012925,0.428677,0.018884,3.968200,0.028520,0.075973
4500,0.000000,0.893170,0.077583,2.487112,0.297013,0.579471,0.053087,3.019972,0.721397,0.060878
4600,0.000000,0.383534,0.150283,1.087836,0.218632,1.550607,0.397376,1.138009,1.830613,0.201819
4700,0.000000,0.525388,0.092461,0.138543,0.110514,0.145876,0.229408,0.943439,0.209713,0.735301
4800,0.000000,0.067496,0.067473,0.904306,0.104724,1.782645,0.089375,0.817187,1.533522,0.203901
4900,0.000000,0.696584,0.056636,0.447281,0.098389,2.655390,0.173977,1.818978,0.086239,0.464482
5000,0.000000,0.286072,0.183106,0.025808,0.138860,2.044098,0.251559,3.727073,0.044317,0.441628
