Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.013087,0.000988,0.013231,0.000629,0.001699,0.000059,0.002169,0.000969,0.000285
200,0.000000,0.052609,0.005764,0.420912,0.038119,0.010497,0.004688,0.009374,0.003877,0.017809
300,0.000000,1.016578,0.025631,0.649580,0.084190,0.035531,0.063309,0.232945,0.177421,0.076604
400,0.000000,0.548760,0.146476,0.138884,0.097682,0.101698,0.046433,0.343228,0.440822,0.112559
500,0.000000,0.063014,0.144334,0.577901,0.034333,0.311572,0.035493,0.854892,0.142425,0.236486
600,0.000000,1.077260,0.041105,0.081465,0.047861,0.243643,0.035949,0.741047,0.217477,0.302581
700,0.000000,0.223011,0.028287,0.228605,0.012015,0.718600,0.036181,0.002085,0.224237,0.446197
800,0.000000,1.157008,0.031431,0.162793,0.017157,0.433099,0.004187,0.062541,0.435707,0.018582
900,0.000000,0.525602,0.115265,0.610374,0.007850,0.636821,0.031768,0.046945,0.731040,0.366971
1000,0.000000,1.209383,0.153652,0.016510,0.114105,0.090984,0.133025,1.033001,0.373908,0.104280
1100,0.000000,0.368312,0.015976,0.300160,0.052380,1.141398,0.057936,2.229966,0.758981,0.118527
1200,0.000000,0.383296,0.023585,0.326393,0.051032,0.395256,0.087938,1.064266,1.298960,0.096633
1300,0.000000,0.380040,0.074630,0.130412,0.106049,0.922104,0.019541,0.259925,1.218602,0.316823
1400,0.000000,0.003336,0.150463,0.555540,0.004588,0.162724,0.079486,1.188086,1.555534,0.263453
1500,0.000000,1.354493,0.023837,0.062840,0.051265,0.660299,0.188339,0.502533,0.803658,0.488916
1600,0.000000,0.445239,0.111877,1.292485,0.193500,0.337850,0.054308,1.040515,1.021308,0.080695
1700,0.000000,0.467946,0.049984,0.857085,0.135654,0.386962,0.119366,0.664894,0.210956,0.616578
1800,0.000000,0.566075,0.203941,1.471077,0.279866,0.194327,0.243429,0.096952,0.272077,0.056141
1900,0.000000,0.056657,0.030747,2.299938,0.285554,0.025263,0.057773,1.828901,0.787386,0.064236
2000,0.000000,0.189949,0.097988,1.267291,0.183146,0.427144,0.298126,1.539078,0.210686,0.008480
2100,0.000000,0.541064,0.089495,0.327229,0.025245,0.693614,0.157318,0.210339,1.459181,0.452391
2200,0.000000,0.245619,0.175983,0.915982,0.206066,0.178570,0.199951,0.207043,0.981176,0.647202
2300,0.000000,0.937301,0.009307,0.332390,0.023230,0.851639,0.146770,1.506158,0.378698,0.457448
2400,0.000000,0.198013,0.119743,0.155838,0.058109,0.027434,0.004572,1.554844,0.877963,0.640413
2500,0.000000,0.619869,0.105322,0.344979,0.037363,1.121798,0.205160,0.258808,1.075984,0.490242
2600,0.000000,0.395928,0.107610,0.112355,0.064151,1.157903,0.115989,2.006813,1.526835,0.275058
2700,0.000000,1.124378,0.034324,2.049159,0.167920,0.125772,0.118205,3.896135,0.146491,0.049887
2800,0.000000,0.190923,0.066589,0.927658,0.061800,0.476712,0.038140,0.315068,0.335175,0.019841
2900,0.000000,0.866517,0.040696,0.150214,0.012397,0.513317,0.267615,0.160611,0.885972,0.496817
3000,0.000000,0.117096,0.011831,1.571915,0.184366,0.475408,0.106264,1.233011,0.493915,0.071864
3100,0.000000,0.315690,0.031615,0.624129,0.085927,0.107572,0.049448,0.347005,0.611743,0.372019
3200,0.000000,0.474030,0.092452,1.570567,0.222949,0.506229,0.012102,0.710572,0.244201,0.253929
3300,0.000000,0.149666,0.107329,0.937038,0.195590,0.184843,0.102130,1.597019,0.139036,0.158544
3400,0.000000,0.214794,0.106626,0.963351,0.192816,0.973489,0.152528,0.301113,0.453725,0.087224
3500,0.000000,1.197309,0.112937,0.195555,0.075366,0.583645,0.055508,0.594754,0.319617,0.104429
3600,0.000000,1.115094,0.044448,0.609597,0.095501,0.648648,0.081092,0.739779,0.116228,0.642040
3700,0.000000,0.311892,0.033315,1.485776,0.169703,0.975800,0.039134,0.742686,0.528067,0.101773
3800,0.000000,0.583814,0.070764,0.983527,0.046673,0.761054,0.048310,2.639512,0.497843,0.524336
3900,0.000000,0.423829,0.041623,1.237539,0.094330,0.366428,0.150663,0.963766,0.869233,0.104506
4000,0.000000,1.179292,0.026342,0.133681,0.032372,0.904534,0.175683,0.630748,0.738476,0.267918
4100,0.000000,0.611468,0.108123,0.882313,0.027512,0.231415,0.119352,1.312260,0.337249,0.100503
4200,0.000000,0.831080,0.025027,2.031954,0.268052,1.248183,0.185435,1.331856,0.968188,0.851540
4300,0.000000,0.641133,0.142016,0.451110,0.169420,0.205077,0.054005,0.556342,0.291530,0.432426
4400,0.000000,0.713643,0.076189,1.858354,0.126281,0.295432,0.312322,1.641428,1.147755,0.295273
4500,0.000000,0.463305,0.052257,0.129874,0.036210,0.131476,0.244937,0.059257,2.084703,0.167030
4600,0.000000,0.255772,0.163247,1.477901,0.232336,0.456561,0.298260,0.152611,0.002445,0.287562
4700,0.000000,0.268492,0.001501,0.443514,0.066351,0.259479,0.112919,0.177286,0.798725,0.113867
4800,0.000000,1.442115,0.039826,1.980276,0.187342,2.138286,0.174422,0.166669,0.604562,0.168391
4900,0.000000,0.090210,0.057679,0.442251,0.072480,1.150243,0.082791,0.413808,0.312955,0.203154
5000,0.000000,0.238359,0.054142,0.633411,0.053858,0.532007,0.006725,0.360049,0.727745,0.508898
