Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.012955,0.001949,0.004706,0.001889,0.000662,0.000147,0.000656,0.000734,0.000189
200,0.000000,0.016094,0.003712,0.164146,0.014780,0.014878,0.001677,0.002258,0.027539,0.003397
300,0.000000,0.174289,0.049996,0.495710,0.087890,0.069631,0.010292,0.009219,0.022628,0.024136
400,0.000000,0.506370,0.062265,0.414807,0.093572,0.060958,0.012951,0.219073,0.025445,0.043403
500,0.000000,0.722103,0.015493,0.012424,0.010792,0.082558,0.011761,0.090068,0.054722,0.025892
600,0.000000,0.735081,0.065315,0.006525,0.037006,0.166437,0.003128,0.391272,0.282041,0.065117
700,0.000000,0.833064,0.021588,0.426475,0.029329,0.216798,0.002329,0.079468,0.193588,0.113858
800,0.000000,0.932609,0.007038,0.754977,0.088743,0.241737,0.033257,0.470732,0.760011,0.402395
900,0.000000,0.138495,0.065854,2.072960,0.250692,0.242635,0.056233,0.196788,0.611310,0.134555
1000,0.000000,0.143252,0.209397,0.743060,0.205063,0.052592,0.197903,0.626055,0.129114,0.079749
1100,0.000000,0.763185,0.010935,0.846618,0.084854,0.202289,0.019317,0.161050,0.268649,0.029838
1200,0.000000,1.475967,0.119828,2.537168,0.324085,0.104939,0.025096,0.344836,0.534760,0.185871
1300,0.000000,1.679463,0.040686,0.112845,0.027293,0.216066,0.022155,0.545513,0.056245,0.044035
1400,0.000000,0.172044,0.046042,0.881333,0.128522,0.126561,0.002213,0.903240,0.221711,0.298635
1500,0.000000,0.009729,0.092883,1.355544,0.202354,0.637049,0.107317,0.850607,0.158747,0.262907
1600,0.000000,0.466351,0.174069,0.011615,0.128380,0.214227,0.066002,0.822783,1.197674,0.227820
1700,0.000000,0.818607,0.035610,0.460062,0.079319,0.067647,0.163330,1.871692,0.029056,0.266338
1800,0.000000,0.784541,0.016284,0.286513,0.021838,0.322836,0.004494,0.522268,0.052965,0.050801
1900,0.000000,0.704135,0.023545,0.603392,0.050870,0.340854,0.064429,0.134690,0.643655,0.087066
2000,0.000000,0.356668,0.148049,0.498190,0.157408,0.690056,0.109831,1.252027,0.100168,0.026828
2100,0.000000,0.363200,0.098839,1.175918,0.183541,0.233796,0.065707,1.239465,0.106310,0.335280
2200,0.000000,0.093618,0.018963,0.829208,0.059870,0.093015,0.019249,0.000312,0.485237,0.042124
2300,0.000000,0.323468,0.141525,0.387030,0.144041,0.061310,0.007032,0.103256,0.335232,0.121883
2400,0.000000,0.058091,0.152803,1.333101,0.283916,0.277610,0.191877,0.924861,0.454973,0.022866
2500,0.000000,1.227472,0.168046,0.541727,0.042385,0.143814,0.041117,0.574945,0.611956,0.528874
2600,0.000000,0.165370,0.195459,0.056971,0.140879,0.033622,0.046074,0.151673,0.261252,0.020598
2700,0.000000,0.718255,0.031550,0.369292,0.001961,0.132404,0.088722,0.127448,0.388184,0.348209
2800,0.000000,1.121105,0.011746,1.515433,0.185906,0.484800,0.070298,0.968999,0.255042,0.315670
2900,0.000000,0.783806,0.014352,0.649432,0.035999,0.209294,0.088710,0.698223,0.771810,0.306790
3000,0.000000,0.110847,0.052655,2.549646,0.288471,0.046573,0.021200,1.109382,0.033199,0.030487
3100,0.000000,0.517933,0.018546,0.178822,0.026450,0.984389,0.018731,0.566246,0.007100,0.008921
3200,0.000000,0.362038,0.113838,0.966236,0.196726,0.153184,0.156826,0.608024,0.497479,0.173980
3300,0.000000,0.599729,0.000461,0.966108,0.105919,0.207335,0.028800,0.161176,0.190718,0.158688
3400,0.000000,0.110179,0.038343,0.961966,0.100275,0.053649,0.058273,0.616858,0.368513,0.227504
3500,0.000000,1.193490,0.039842,0.524544,0.048175,0.398327,0.183469,0.323677,1.283600,0.407545
3600,0.000000,0.602507,0.113876,0.736958,0.144443,0.103433,0.008944,0.969914,0.066421,0.087980
3700,0.000000,0.435653,0.191557,0.251055,0.121349,0.020285,0.007093,0.305912,0.484970,0.264539
3800,0.000000,0.175770,0.047208,0.166421,0.028612,0.943865,0.031878,0.169866,0.178369,0.040398
3900,0.000000,0.210023,0.086060,0.995251,0.093201,0.032736,0.123961,1.325439,1.450399,0.198390
4000,0.000000,0.107150,0.069224,0.026094,0.058798,0.067685,0.127910,1.539509,0.216601,0.006360
4100,0.000000,0.042589,0.239039,0.014230,0.196735,0.562358,0.075444,0.648149,0.161070,0.348705
4200,0.000000,0.392742,0.041550,0.141968,0.012710,0.467219,0.052861,0.770203,0.393614,0.784477
4300,0.000000,0.697179,0.111725,1.018401,0.205831,0.067305,0.015720,1.392780,0.117115,0.310130
4400,0.000000,0.116257,0.141777,0.694969,0.000280,0.100017,0.034989,0.206232,0.905150,0.398739
4500,0.000000,0.100483,0.038812,0.735161,0.096085,0.069339,0.048218,0.329236,0.673238,0.282280
4600,0.000000,0.110164,0.048496,1.402904,0.184963,0.979685,0.010301,0.151488,0.039647,0.096591
4700,0.000000,0.416371,0.025716,0.353759,0.050476,0.150114,0.033766,0.079311,0.087471,0.109945
4800,0.000000,0.438215,0.214555,0.291738,0.185376,0.807164,0.144084,0.304515,0.546250,0.168782
4900,0.000000,1.053139,0.035720,0.440145,0.045565,0.606034,0.127160,0.586473,0.785303,0.399345
5000,0.000000,0.320368,0.056598,0.379813,0.114283,0.749971,0.069507,0.054339,0.182787,0.636303
