Step,Time,Temperature,Potential,LJ,PME,Nb14_LJ,Nb14_EE,Bond,Angle,Dihedral
100,0.000000,0.003319,0.001361,0.002309,0.000768,0.000338,0.000383,0.000857,0.001458,0.000764
200,0.000000,0.125074,0.003109,0.372452,0.034044,0.049881,0.000883,0.037818,0.001461,0.011955
300,0.000000,0.187069,0.041034,0.133050,0.045314,0.103339,0.089873,0.807384,0.816247,0.043800
400,0.000000,0.418976,0.040572,0.363458,0.034320,0.185805,0.125991,0.039328,0.854553,0.157679
500,0.000000,0.716610,0.055274,0.144139,0.033433,0.159759,0.122056,1.069345,0.190769,0.067515
600,0.000000,0.605842,0.089212,0.512953,0.074308,2.606899,0.123204,2.393762,0.843618,0.146731
700,0.000000,0.194156,0.010160,1.159676,0.190435,1.889143,0.399838,0.201969,1.227884,0.202214
800,0.000000,0.612157,0.011028,0.671043,0.126942,0.444648,0.079627,0.333792,0.927102,0.737434
900,0.000000,0.152576,0.044649,0.165276,0.075457,0.598605,0.263016,1.218129,0.133177,0.503546
1000,0.000000,1.055928,0.014423,0.089985,0.032815,0.761721,0.025673,0.229471,1.222135,0.183153
1100,0.000000,0.790223,0.034860,1.640137,0.191219,0.566898,0.099528,0.898440,0.390318,0.251421
1200,0.000000,0.383269,0.035473,1.530122,0.096813,0.387042,0.615723,2.269277,1.013866,0.049425
1300,0.000000,1.512130,0.041103,0.554097,0.010830,0.058492,0.110353,0.654427,1.494291,0.154734
1400,0.000000,0.460722,0.065712,0.002555,0.027354,0.902269,0.065348,2.009102,0.718909,0.769962
1500,0.000000,1.204094,0.022729,2.291326,0.169571,0.446456,0.247128,0.076127,0.625066,0.222502
1600,0.000000,0.507631,0.029328,0.124849,0.051557,1.002074,0.269608,2.243324,2.322011,0.122967
1700,0.000000,0.323679,0.080097,0.718291,0.113179,2.468118,0.558286,0.796838,1.959492,0.826411
1800,0.000000,0.331458,0.173252,1.011634,0.232521,0.604144,0.163927,1.327208,0.278406,0.094652
1900,0.000000,0.080316,0.162145,0.233305,0.090581,1.704592,0.547514,2.049562,1.962327,0.371271
2000,0.000000,0.218245,0.138482,0.522952,0.175030,0.039310,0.146862,0.462192,0.331190,0.248886
2100,0.000000,0.803026,0.231336,0.135473,0.112667,1.815487,0.312654,4.405807,0.446049,1.326944
2200,0.000000,0.080645,0.118222,0.225649,0.116247,0.394206,0.132926,2.960265,2.784950,0.250723
2300,0.000000,0.329122,0.187708,0.040114,0.135555,0.264028,0.169135,4.176095,0.374044,0.190399
2400,0.000000,0.234939,0.155522,0.275411,0.103953,0.409796,0.409990,0.075551,0.076859,0.208450
2500,0.000000,0.013467,0.242801,1.073352,0.303874,0.388112,0.251786,1.371239,0.359781,0.343985
2600,0.000000,0.736407,0.045311,0.217779,0.000068,1.053316,0.254950,0.247576,0.315606,0.122208
2700,0.000000,0.519629,0.103915,0.295276,0.101102,0.437871,0.407693,1.176005,0.054216,0.101243
2800,0.000000,1.992693,0.179478,0.041121,0.143499,1.346975,0.161830,2.400892,0.200194,0.174442
2900,0.000000,1.143911,0.141012,0.504473,0.197966,1.965957,0.084798,1.451726,1.564655,0.104702
3000,0.000000,0.013433,0.100398,0.021389,0.076662,1.140589,0.082722,0.373951,0.904128,0.518496
3100,0.000000,0.484713,0.112294,0.558650,0.119194,0.400326,0.418116,0.898058,2.072416,0.518674
3200,0.000000,0.087248,0.113405,0.088424,0.086797,0.741756,0.031720,0.745979,1.099228,0.228574
3300,0.000000,0.910256,0.016822,0.895072,0.094281,2.239107,0.158000,7.109131,0.353556,0.255079
3400,0.000000,1.034576,0.031677,1.215443,0.162781,0.138913,0.052530,1.860617,0.350718,0.085054
3500,0.000000,1.263599,0.090464,0.789333,0.014949,2.927323,0.045858,2.681170,1.957477,0.464931
3600,0.000000,1.204779,0.029328,0.088921,0.005399,1.478655,0.026558,4.903512,1.206367,0.289838
3700,0.000000,0.063669,0.114933,1.347246,0.044314,0.808723,0.079369,0.604219,0.434949,0.159341
3800,0.000000,0.061054,0.217358,0.568983,0.183661,0.644155,0.466921,1.033965,1.283323,0.115783
3900,0.000000,0.991568,0.108078,0.578873,0.212961,1.984369,0.284543,1.105680,2.152099,0.042852
4000,0.000000,0.634759,0.044060,1.314195,0.231055,0.695929,0.182710,1.025019,1.773614,0.559250
4100,0.000000,1.265909,0.076514,0.346650,0.109046,0.366002,0.226476,0.570894,0.705063,0.535438
4200,0.000000,2.115985,0.076124,1.130475,0.148507,0.883095,0.294608,2.862431,2.557357,0.505477
4300,0.000000,0.635579,0.134435,2.076158,0.372234,0.924626,0.143357,1.144227,2.421617,0.377369
4400,0.000000,0.587381,0.192813,0.977411,0.053375,1.540586,0.240645,1.711830,0.326079,0.718383
4500,0.000000,0.742650,0.099844,0.180553,0.085048,0.432412,0.048354,0.587823,0.977433,0.193864
4600,0.000000,0.494916,0.119055,0.274607,0.032597,0.278692,0.238002,0.466532,1.235578,0.925094
4700,0.000000,0.672902,0.148627,1.077997,0.238663,0.322354,0.166979,6.518931,0.351966,0.557509
4800,0.000000,0.835250,0.038780,1.727606,0.226625,0.587357,0.090809,4.306379,0.011083,0.207151
4900,0.000000,0.201911,0.162078,0.011449,0.091057,0.602488,0.286836,1.773175,0.198825,0.039173
5000,0.000000,0.754525,0.084369,0.803498,0.172876,0.005708,0.353664,0.104872,0.587188,0.153343
